p_code,region_code,region,proposed_position,"name, surname, title",titles,number_titles,mgr,ing,phd,mba,full name,name,surname,sex,age,proposed party,affiliation,party code,elected,votes,votes_pct
1304022,13,Zlínský,22,Kadlecová Michaela,nan,0,0,0,0,0,Kadlecová Michaela,Michaela,Kadlecová ,0,42,SPD,SPD,4,0,308,0.86
70806,7,Liberecký,6,Hubínka Zbyněk Ing.,Ing.,1,0,1,0,0,Hubínka Zbyněk ,Zbyněk ,Hubínka ,1,45,TSS,Svobodní,8,0,307,4.98
808020,8,Královéhradecký,20,Horák Oldřich RNDr. Ing. Ph.D.,RNDr. Ing. Ph.D.,3,0,1,1,0,Horák Oldřich ,Oldřich ,Horák ,1,48,TSS,Svobodní,8,0,307,3.54
11020017,11,Jihomoravský,17,Jendřejas Libor Ing.,Ing.,1,0,1,0,0,Jendřejas Libor ,Libor ,Jendřejas ,1,57,ANO,ANO,20,0,306,0.19
1304015,13,Zlínský,15,Grozický Alexandr,nan,0,0,0,0,0,Grozický Alexandr,Alexandr,Grozický ,1,52,SPD,SPD,4,0,306,0.85
205023,2,Středočeský,23,Volenec Jiří,nan,0,0,0,0,0,Volenec Jiří,Jiří,Volenec ,1,59,ČSSD,ČSSD,5,0,305,0.94
1403012,14,Moravskoslezský,12,Konečný Petr doc. Ing. Ph.D.,doc. Ing. Ph.D.,2,0,1,1,0,Konečný Petr ,Petr ,Konečný ,1,42,Volný blok,Volný blok,3,0,305,2.59
1308015,13,Zlínský,15,Zemek Stanislav MUDr.,MUDr.,1,0,0,0,0,Zemek Stanislav ,Stanislav ,Zemek ,1,44,TSS,BEZPP,8,0,304,2.92
13012011,13,Zlínský,11,Adamík Martin Mgr.,Mgr.,1,1,0,0,0,Adamík Martin ,Martin ,Adamík ,1,36,PŘÍSAHA,BEZPP,12,0,303,2.28
14017029,14,Moravskoslezský,29,Breškovec Michael Ing.,Ing.,1,0,1,0,0,Breškovec Michael ,Michael ,Breškovec ,1,43,Piráti,Piráti,17,0,303,0.47
1018011,1,Hl. m. Praha,11,Hrůza Ivan JUDr.,JUDr.,1,0,0,0,0,Hrůza Ivan ,Ivan ,Hrůza ,1,67,KSČM,KSČM,18,0,303,2.24
205015,2,Středočeský,15,Klíma Štefan Mgr.,Mgr.,1,1,0,0,0,Klíma Štefan ,Štefan ,Klíma ,1,50,ČSSD,ČSSD,5,0,303,0.93
1105034,11,Jihomoravský,34,"Iványi Pavel MBA, LL.M.","MBA, LL.M.",2,0,0,0,0,Iványi Pavel ,Pavel ,Iványi ,1,58,ČSSD,BEZPP,5,0,302,1.09
204017,2,Středočeský,17,Dufek Filip,nan,0,0,0,0,0,Dufek Filip,Filip,Dufek ,1,38,SPD,SPD,4,0,302,0.54
1404015,14,Moravskoslezský,15,Starý Robert,nan,0,0,0,0,0,Starý Robert,Robert,Starý ,1,52,SPD,SPD,4,0,302,0.4
6018014,6,Ústecký,14,Bureš Petr,nan,0,0,0,0,0,Bureš Petr,Petr,Bureš ,1,44,KSČM,KSČM,18,0,302,2.03
40803,4,Plzeňský,3,Kaše Robert Mgr.,Mgr.,1,1,0,0,0,Kaše Robert ,Robert ,Kaše ,1,53,TSS,Soukromníci,8,0,301,4.15
20304,2,Středočeský,4,Kuchař Petr MUDr.,MUDr.,1,0,0,0,0,Kuchař Petr ,Petr ,Kuchař ,1,70,Volný blok,Volný blok,3,0,301,4.54
13018011,13,Zlínský,11,Lapčík Vítězslav Ing.,Ing.,1,0,1,0,0,Lapčík Vítězslav ,Vítězslav ,Lapčík ,1,56,KSČM,KSČM,18,0,301,2.88
1020028,1,Hl. m. Praha,28,Lukešová Helena,nan,0,0,0,0,0,Lukešová Helena,Helena,Lukešová ,0,53,ANO,ANO,20,0,301,0.27
501806,5,Karlovarský,6,Hermann Karel,nan,0,0,0,0,0,Hermann Karel,Karel,Hermann ,1,47,KSČM,KSČM,18,0,301,6.75
804014,8,Královéhradecký,14,Jančula Pavel,nan,0,0,0,0,0,Jančula Pavel,Pavel,Jančula ,1,49,SPD,SPD,4,0,301,1.12
14012017,14,Moravskoslezský,17,Vyhlasová Petra Ing.,Ing.,1,0,1,0,0,Vyhlasová Petra ,Petra ,Vyhlasová ,0,35,PŘÍSAHA,BEZPP,12,0,300,1.06
9012014,9,Pardubický,14,Andrle Jan Mgr.,Mgr.,1,1,0,0,0,Andrle Jan ,Jan ,Andrle ,1,31,PŘÍSAHA,BEZPP,12,0,299,2.2
1005014,10,Vysočina,14,Černý Vladimír Ing.,Ing.,1,0,1,0,0,Černý Vladimír ,Vladimír ,Černý ,1,60,ČSSD,ČSSD,5,0,299,1.64
1301805,13,Zlínský,5,Procházková Pavlína,nan,0,0,0,0,0,Procházková Pavlína,Pavlína,Procházková ,0,45,KSČM,BEZPP,18,0,299,2.86
2018014,2,Středočeský,14,Labudová Lenka Mgr.,Mgr.,1,1,0,0,0,Labudová Lenka ,Lenka ,Labudová ,0,55,KSČM,BEZPP,18,0,298,1.21
901808,9,Pardubický,8,Bohatec Josef,nan,0,0,0,0,0,Bohatec Josef,Josef,Bohatec ,1,47,KSČM,KSČM,18,0,298,2.84
70507,7,Liberecký,7,Štěpánková Eva,nan,0,0,0,0,0,Štěpánková Eva,Eva,Štěpánková ,0,56,ČSSD,ČSSD,5,0,298,3.85
1005020,10,Vysočina,20,Technik Radim Ing.,Ing.,1,0,1,0,0,Technik Radim ,Radim ,Technik ,1,37,ČSSD,ČSSD,5,0,297,1.63
50409,5,Karlovarský,9,Nimrichter Petr,nan,0,0,0,0,0,Nimrichter Petr,Petr,Nimrichter ,1,56,SPD,SPD,4,0,297,1.78
604024,6,Ústecký,24,Varga Michal,nan,0,0,0,0,0,Varga Michal,Michal,Varga ,1,57,SPD,SPD,4,0,297,0.66
90505,9,Pardubický,5,Burešová Ivana Lic.,Lic.,1,0,0,0,0,Burešová Ivana ,Ivana ,Burešová ,0,62,ČSSD,BEZPP,5,0,296,2.13
40506,4,Plzeňský,6,Černý Michal Mgr.,Mgr.,1,1,0,0,0,Černý Michal ,Michal ,Černý ,1,45,ČSSD,ČSSD,5,0,296,2.04
1304014,13,Zlínský,14,Dědková Jarmila,nan,0,0,0,0,0,Dědková Jarmila,Jarmila,Dědková ,0,58,SPD,SPD,4,0,296,0.83
1020025,1,Hl. m. Praha,25,Jakeš Michal Mgr.,Mgr.,1,1,0,0,0,Jakeš Michal ,Michal ,Jakeš ,1,55,ANO,ANO,20,0,296,0.27
